"url","total_facebook_shares","facebook_likes","facebook_comments","facebook_shares","approx_likes","approx_likes_int"
"https://nypost.com/2019/01/01/ex-steelers-star-ryan-clark-turns-on-monster-antonio-brown/",1910,627,868,415,0,0
"https://nypost.com/2018/12/31/its-unclear-if-ocasio-cortez-is-taking-a-salary-during-shutdown/",10255,5050,3592,1613,0,0
"https://nypost.com/2019/01/01/tom-brady-overestimated-himself-and-lost-5-million/",4525,2196,1678,651,0,0
"https://www.nytimes.com/es/2019/01/01/bolsonaro-posesion-brasil/",855,564,89,202,0,0
"https://www.nytimes.com/es/2019/01/02/lopez-obrador-corrupcion/",3139,1847,499,793,0,0
"https://nypost.com/2019/01/01/nurse-diagnoses-her-own-brain-tumor-after-seeing-poster-at-work/",0,0,0,0,0,0
"https://www.nytimes.com/2018/12/31/todayspaper/quotation-of-the-day-louis-ck-mocks-parkland-school-shooting-survivors-in-recent-set.html",0,0,0,0,0,0
"https://www.breitbart.com/politics/2019/01/01/tom-cotton-blocks-jobs-giveaway-foreign-graduates/",45710,39632,2250,3828,"45K",45000
"https://www.breitbart.com/border/2019/01/01/feds-fire-tear-gas-at-caravan-migrants-during-new-years-border-breach/",911,640,116,155,910,910
"https://www.nytimes.com/2019/01/04/us/politics/democrats-trump-meeting-government-shutdown.html",378843,203157,136786,38900,"378K",378000
"https://www.nytimes.com/2019/01/06/business/media/sony-movies-television-ces-playstation.html",215,75,43,97,215,215
"https://cooking.nytimes.com/recipes/1019834-black-eyed-pea-and-pork-gumbo",427,210,126,91,530,530
